Polygenic Score (PGS) ID,Stage of PGS Development,Number of Individuals,Number of Cases,Number of Controls,Percent of Participants Who are Male,Sample Age,Broad Ancestry Category,"Ancestry (e.g. French, Chinese)",Country of Recruitment,Additional Ancestry Description,Phenotype Definitions and Methods,Followup Time,GWAS Catalog Study ID (GCST...),Source PubMed ID (PMID),Source DOI,Cohort(s),Additional Sample/Cohort Information
PGS000337,Source of Variant Associations (GWAS),3139.0,,,,,African American or Afro-Caribbean,,U.S.,,,,GCST003116,26343387,,HPS|HSIEA|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|CCGB|DUKE_2|SDS|TwinGene|LIFE-HEART|WGHS|MAYO-VDB|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|GerMIFS|LURIC|MIGen|OHGS|PennCATH|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|CARDIOGENICS|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|MedSTAR|ITH|BioMe,
PGS000337,Source of Variant Associations (GWAS),2268.0,,,,,"Greater Middle Eastern (Middle Eastern, North African or Persian)",,NR,,,,GCST003116,26343387,,HPS|HSIEA|ITH|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|DUKE_2|LIFE-HEART|WGHS|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|LURIC|MIGen|OHGS|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|GerMIFS|MedSTAR|PennCATH|TwinGene|MAYO-VDB|CCGB|CARDIOGENICS|BioMe,
PGS000337,Source of Variant Associations (GWAS),296525.0,,,,,NR,,U.K.,,,,GCST005194,29212778,,UKB,
PGS000337,Source of Variant Associations (GWAS),168228.0,25892.0,142336.0,53.63,,East Asian,Japanese,Japan,,"CAD was defined as a composite of stable angina, unstable angina and myocardial infarction. The disease definitions are dependent on the physician's diagnosis based on general medical practices following relevant guidelines and according to the clinical symptoms and diagnotic tests.",,GCST010867,33020668,,BBJ,
PGS000338,Source of Variant Associations (GWAS),8967.0,,,,,African American or Afro-Caribbean,,U.S.,African American,,,GCST006061,29892015,,,
PGS000338,Source of Variant Associations (GWAS),537409.0,,,,,European,,"U.S., Australia, Germany, Netherlands, Denmark, Estonia, Norway, Sweden, NR",,,,GCST006061,29892015,,,
PGS000338,Source of Variant Associations (GWAS),5022.0,,,,,Hispanic or Latin American,,"Brazil, NR","Brazilian, Hispanic",,,GCST006061,29892015,,,
PGS000338,Source of Variant Associations (GWAS),36792.0,,,,,East Asian,Japanese,NR,,,,GCST006061,29892015,,,
PGS000339,Source of Variant Associations (GWAS),36077.0,,,,,European,,"U.S., Israel, Australia, Germany, U.K., France",,,,GCST003061,26237428,,,
PGS000339,Score Development/Training,3666.0,1892.0,1774.0,53.16,,European,,,Australia,For MIA: Patients with histophatologically confirmed melanoma with germine DNA avaialbe from blood samples in th MIA Biospecimen Bank were included. For PAH: Patients whose locally invasive primary melanoma was confirmed by histopathology were recruited. For BATS: Individuals who self-reported as being free from melanoma and had no family history of melanoma were included.,,,32716505,,MIA|PAH|BATS,
PGS000340,Source of Variant Associations (GWAS),94595.0,,,,,European,,NR,,,,GCST002222,24097068,,,
PGS000341,Source of Variant Associations (GWAS),26679.0,,,,,European,,"U.S., Australia, France, Germany, Netherlands, Norway, Sweden, U.K., Italy, Spain",,,,GCST009131,31672989,,,
PGS000341,Score Development/Training,971.0,400.0,571.0,,,European,,,,The diagnosttic criteria for each disease was based on gold-standard clinical guidelines.,,,,,PRECISESADS,
PGS000342,Source of Variant Associations (GWAS),6297.0,,,,,European,,"U.S., Canada, Germany, Estonia",,,,GCST003269,26626624,,,
PGS000342,Source of Variant Associations (GWAS),6880.0,,,,,European,,"U.S., Canada, Germany, Estonia",,,,GCST003270,26626624,,,
PGS000342,Source of Variant Associations (GWAS),,,,,,NR,,,,,,,25948071,,,
PGS000343,Source of Variant Associations (GWAS),,,,,,NR,,,,,,,25948071,,,
PGS000344,Source of Variant Associations (GWAS),139274.0,,,,,European,,"Canada, U.S., Australia, Belgium, France, Germany, Netherlands, Israel, Belarus, Poland, Russian Federation, Denmark, Finland, Norway, Sweden, U.K., Greece, Italy, Spain, The former Yugoslav Republic of Macedonia, NR",,,,GCST004988,29059683,,,
PGS000344,Score Development/Training,169092.0,94075.0,75017.0,0.0,,European,,"Denmark, France, Germany, Greece, Italy, Norway, Spain, Sweden, The Netherlands, UK, USA",,,,,30554720,,2SISTER|ABCFS|ABCS|ABCTB|AOCS|BBCC|BBCS|BCEES|BCFR-NY|BCFR-PA|BCFR-UTAH|BCINIS|BIGGS|BREOGAN|BSUCH|CBCS|CCGP|CECILE|CGPS|CNIO-BCS|CPSII|CTS|DIETCOMPLYF|ESTHER|GC-HBOC|GENICA|GEPARSIXTO|GESBC|HEBCS|HMBCS|HUOCS|KARBAC|KBCP|LMBC|MABCS|MARIE|MBCSG|MCBCS|MCCS|MEC|MISS|MMHS|MSKCC|MTLGEBCS|NBCS|NBHS|NC-BCFR|OBCS|OFBCR|ORIGO|PBCS|POSH|PREFACE|RBCS|pKARMA|SASBAC|SBCS|SEARCH|SKKDKFZS|SMC|SUCCESSB|SUCCESSC|SZBCS|TNBCC|UCIBCS|UKOPS|WHI|HCSC,Scores were developed in PGP000002 (Mavaddat et al. AJHG [2020]) - numbers correspond to the training + validation sets for breast cancer
PGS000345,Source of Variant Associations (GWAS),139274.0,,,,,European,,"Canada, U.S., Australia, Belgium, France, Germany, Netherlands, Israel, Belarus, Poland, Russian Federation, Denmark, Finland, Norway, Sweden, U.K., Greece, Italy, Spain, The former Yugoslav Republic of Macedonia, NR",,,,GCST004988,29059683,,,
PGS000345,Score Development/Training,169092.0,94075.0,75017.0,0.0,,European,,"Denmark, France, Germany, Greece, Italy, Norway, Spain, Sweden, The Netherlands, UK, USA",,,,,30554720,,2SISTER|ABCFS|ABCS|ABCTB|AOCS|BBCC|BBCS|BCEES|BCFR-NY|BCFR-PA|BCFR-UTAH|BCINIS|BIGGS|BREOGAN|BSUCH|CBCS|CCGP|CECILE|CGPS|CNIO-BCS|CPSII|CTS|DIETCOMPLYF|ESTHER|GC-HBOC|GENICA|GEPARSIXTO|GESBC|HEBCS|HMBCS|HUOCS|KARBAC|KBCP|LMBC|MABCS|MARIE|MBCSG|MCBCS|MCCS|MEC|MISS|MMHS|MSKCC|MTLGEBCS|NBCS|NBHS|NC-BCFR|OBCS|OFBCR|ORIGO|PBCS|POSH|PREFACE|RBCS|SASBAC|SBCS|SEARCH|SKKDKFZS|SMC|SUCCESSB|SUCCESSC|SZBCS|TNBCC|UCIBCS|UKOPS|WHI|pKARMA|HCSC,Scores were developed in PGP000002 (Mavaddat et al. AJHG [2020]) - numbers correspond to the training + validation sets for breast cancer
PGS000346,Source of Variant Associations (GWAS),139274.0,,,,,European,,"Canada, U.S., Australia, Belgium, France, Germany, Netherlands, Israel, Belarus, Poland, Russian Federation, Denmark, Finland, Norway, Sweden, U.K., Greece, Italy, Spain, The former Yugoslav Republic of Macedonia, NR",,,,GCST004988,29059683,,,
PGS000346,Score Development/Training,169092.0,94075.0,75017.0,0.0,,European,,"Denmark, France, Germany, Greece, Italy, Norway, Spain, Sweden, The Netherlands, UK, USA",,,,,30554720,,2SISTER|ABCFS|ABCS|ABCTB|AOCS|BBCC|BBCS|BCEES|BCFR-NY|BCFR-PA|BCFR-UTAH|BCINIS|BIGGS|BREOGAN|BSUCH|CBCS|CCGP|CECILE|CGPS|CNIO-BCS|CPSII|CTS|DIETCOMPLYF|ESTHER|GC-HBOC|GENICA|GEPARSIXTO|GESBC|HEBCS|HMBCS|HUOCS|KARBAC|KBCP|LMBC|MABCS|MARIE|MBCSG|MCBCS|MCCS|MEC|MISS|MMHS|MSKCC|MTLGEBCS|NBCS|NBHS|NC-BCFR|OBCS|OFBCR|ORIGO|PBCS|POSH|PREFACE|RBCS|SASBAC|SBCS|SEARCH|SKKDKFZS|SMC|SUCCESSB|SUCCESSC|SZBCS|TNBCC|UCIBCS|UKOPS|WHI|pKARMA|HCSC,Scores were developed in PGP000002 (Mavaddat et al. AJHG [2020]) - numbers correspond to the training + validation sets for breast cancer
PGS000347,Source of Variant Associations (GWAS),139274.0,,,,,European,,"Canada, U.S., Australia, Belgium, France, Germany, Netherlands, Israel, Belarus, Poland, Russian Federation, Denmark, Finland, Norway, Sweden, U.K., Greece, Italy, Spain, The former Yugoslav Republic of Macedonia, NR",,,,GCST004988,29059683,,,
PGS000347,Score Development/Training,169092.0,94075.0,75017.0,0.0,,European,,"Denmark, France, Germany, Greece, Italy, Norway, Spain, Sweden, The Netherlands, UK, USA",,,,,30554720,,2SISTER|ABCFS|ABCS|ABCTB|AOCS|BBCC|BBCS|BCEES|BCFR-NY|BCFR-PA|BCFR-UTAH|BCINIS|BIGGS|BREOGAN|BSUCH|CBCS|CCGP|CECILE|CGPS|CNIO-BCS|CPSII|CTS|DIETCOMPLYF|ESTHER|GC-HBOC|GENICA|GEPARSIXTO|GESBC|HEBCS|HMBCS|HUOCS|KARBAC|KBCP|LMBC|MABCS|MARIE|MBCSG|MCBCS|MCCS|MEC|MISS|MMHS|MSKCC|MTLGEBCS|NBCS|NBHS|NC-BCFR|OBCS|OFBCR|ORIGO|PBCS|POSH|PREFACE|RBCS|SASBAC|SBCS|SEARCH|SKKDKFZS|SMC|SUCCESSB|SUCCESSC|SZBCS|TNBCC|UCIBCS|UKOPS|WHI|pKARMA|HCSC,Scores were developed in PGP000002 (Mavaddat et al. AJHG [2020]) - numbers correspond to the training + validation sets for breast cancer
PGS000348,Source of Variant Associations (GWAS),22548.0,,,,,European,,"Sweden, Australia, U.K.",,,,GCST001942,23535732,,,
PGS000348,Source of Variant Associations (GWAS),23226.0,,,,,European,,Iceland,,,,GCST000153,18264098,,ICR|IGD|deCODE,
PGS000348,Source of Variant Associations (GWAS),3748.0,,,,,European,,U.K.,,,,GCST000488,19767753,,ProtecT|UKGPCS,
PGS000348,Source of Variant Associations (GWAS),7240.0,,,,,European,,"Finland, Sweden, U.S., Italy, Netherlands, Greece, Germany, U.K., Spain, Denmark",,,,GCST001147,21743057,,,
PGS000348,Source of Variant Associations (GWAS),3748.0,,,,,European,,U.K.,,,,GCST000152,18264097,,ProtecT|UKGPCS,
PGS000348,Source of Variant Associations (GWAS),37350.0,,,,,European,,Iceland,,,,GCST000489,19767754,,ICR|IGD|deCODE,
PGS000348,Source of Variant Associations (GWAS),2329.0,,,,,European,,NR,,,,GCST000154,18264096,,PLCO,
PGS000348,Source of Variant Associations (GWAS),4517.0,,,,,European,,Iceland,,,,GCST000019,17401366,,ICR|IGD|deCODE,
PGS000348,Source of Variant Associations (GWAS),2329.0,,,,,European,,NR,,,,GCST000017,17401363,,,
PGS000348,Source of Variant Associations (GWAS),67543.0,,,,,European,,"Finland, Sweden, U.S., Poland, Bulgaria, Australia, Italy, Netherlands, Portugal, Greece, Germany, U.K., Spain, Denmark",,,,GCST002606,25217961,,,
PGS000348,Source of Variant Associations (GWAS),2080.0,,,,,Hispanic or Latin American,,U.S.,,,,GCST002606,25217961,,,
PGS000348,Source of Variant Associations (GWAS),6954.0,,,,,East Asian,,"U.S., Japan",,,,GCST002606,25217961,,,
PGS000348,Source of Variant Associations (GWAS),10463.0,,,,,"Sub-Saharan African, African American or Afro-Caribbean",,"U.S., Ghana, Barbados",,,,GCST002606,25217961,,,
PGS000348,Source of Variant Associations (GWAS),1525.0,212.0,1313.0,100.0,,European,,"Australia, Austria, Belgium, Canada, Denmark, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Lithuania, Netherlands, Portugal, Spain, Sweden, UK, USA",Self-reported European ancestry,"Breast and prostate cancer cases were defined on the basis of age at diagnosis, whichever occurred first. If breast and prostate cancer occurred at the same time, individuals were treated as patients with breast cancer.",,,,,DEMOKRITOS|CNIO|CONSIT|DKFZ|FCCC|G-FaST|HVH|IOVHBOCS|kConFab|BRICOH|EMBRACE|HEBON|HUNBOCS|ICO|IPOBCS|MAYO|NCI|OSU|UPITT|CBCS|BCFR|ILUH|SWE-BRCA|Chicago|GC-HBOC|HEBCS|MSKCC|PBCS|CIMBA|HCSC|MUV|OCGN|OUH|UPENN|VFCTG|BFBOCC|GEMO,
PGS000348,Source of Variant Associations (GWAS),3226.0,,,,,East Asian,,U.S.,,,,GCST002944,26034056,,CMHS|GERA|ProHealth|RPGEH,
PGS000348,Source of Variant Associations (GWAS),2251.0,,,,,African American or Afro-Caribbean,,U.S.,,,,GCST002944,26034056,,CMHS|GERA|ProHealth|RPGEH,
PGS000348,Source of Variant Associations (GWAS),3629.0,,,,,Hispanic or Latin American,,U.S.,,,,GCST002944,26034056,,CMHS|GERA|ProHealth|RPGEH,
PGS000348,Source of Variant Associations (GWAS),37272.0,,,,,European,,U.S.,,,,GCST002944,26034056,,CMHS|GERA|ProHealth|RPGEH,
PGS000348,Source of Variant Associations (GWAS),3840.0,1906.0,1934.0,,,European,,UK,,,,,19767752,,UKGPCS|ProtecT,
PGS000349,Source of Variant Associations (GWAS),11323.0,,,,,East Asian,,"Republic of Korea, China",,,,GCST003116,26343387,,HPS|HSIEA|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|CCGB|DUKE_2|SDS|TwinGene|LIFE-HEART|WGHS|MAYO-VDB|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|GerMIFS|LURIC|MIGen|OHGS|PennCATH|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|CARDIOGENICS|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|MedSTAR|ITH|BioMe,
PGS000349,Source of Variant Associations (GWAS),25557.0,,,,,South Asian,,"India, U.K., Pakistan",,,,GCST003116,26343387,,HPS|HSIEA|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|CCGB|DUKE_2|SDS|TwinGene|LIFE-HEART|WGHS|MAYO-VDB|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|GerMIFS|LURIC|MIGen|OHGS|PennCATH|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|CARDIOGENICS|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|MedSTAR|ITH|BioMe,
PGS000349,Source of Variant Associations (GWAS),4095.0,,,,,Hispanic or Latin American,,U.S.,,,,GCST003116,26343387,,HPS|HSIEA|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|CCGB|DUKE_2|SDS|TwinGene|LIFE-HEART|WGHS|MAYO-VDB|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|GerMIFS|LURIC|MIGen|OHGS|PennCATH|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|CARDIOGENICS|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|MedSTAR|ITH|BioMe,
PGS000349,Source of Variant Associations (GWAS),141217.0,,,,,European,,"Finland, Sweden, U.S., Iceland, Italy, Netherlands, Greece, Germany, U.K., Spain, Estonia, NR, Republic of Ireland",,,,GCST003116,26343387,,HPS|HSIEA|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|CCGB|DUKE_2|SDS|TwinGene|LIFE-HEART|WGHS|MAYO-VDB|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|GerMIFS|LURIC|MIGen|OHGS|PennCATH|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|CARDIOGENICS|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|MedSTAR|ITH|BioMe,
PGS000349,Source of Variant Associations (GWAS),3139.0,,,,,African American or Afro-Caribbean,,U.S.,,,,GCST003116,26343387,,HPS|HSIEA|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|CCGB|DUKE_2|SDS|TwinGene|LIFE-HEART|WGHS|MAYO-VDB|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|GerMIFS|LURIC|MIGen|OHGS|PennCATH|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|CARDIOGENICS|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|MedSTAR|ITH|BioMe,
PGS000349,Source of Variant Associations (GWAS),2268.0,,,,,"Greater Middle Eastern (Middle Eastern, North African or Persian)",,NR,,,,GCST003116,26343387,,HPS|HSIEA|ITH|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|DUKE_2|LIFE-HEART|WGHS|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|LURIC|MIGen|OHGS|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|GerMIFS|MedSTAR|PennCATH|TwinGene|MAYO-VDB|CCGB|CARDIOGENICS|BioMe,
PGS000349,Source of Variant Associations (GWAS),86995.0,,,,,European,,NR,,,,GCST000998,21378990,,ADVANCE|AtheroRemo|CADomics|CHARGE|GerMIFS|LURIC|MIGen|MedSTAR|OHGS|PennCATH|WTCCC|deCODE_CAD,
PGS000349,Source of Variant Associations (GWAS),194427.0,63746.0,130681.0,,,"European, South Asian, NR",,"USA, Netherlands, Germany, France, England, Finland, Estonia, Lebanon, Sweden, Norway, Denmark, Scotland, UK, France, Italy, Canada, Pakistan, Greece",,,,,23202125,,ADVANCE|CADomics|CHARGE|deCODE_CAD|LURIC|MedSTAR|PennCATH|WTCCC|AMC-PAS|Angio-Lueb|CARDIOGENICS|DILGOM|EGCUT|EPIC|FGENTCARD|FRISCII|GLACIER|HPS|ITH|LOLIPOP|EMIL|METSIM|MORGAM|OHGS|PIVUS|PMB|POPGEN|PROCARDIS|PROMIS|SCARFSHEEP|STR|THISEAS|ULSAM|WTCCC_CAD|KORA|AtheroRemo|Duke|GoDARTS|MIGen|GerMIFS,
PGS000349,Source of Variant Associations (GWAS),120575.0,42335.0,78240.0,,,European,,,,,,,28209224,,IATVB|BHF-FHS|Duke|EPIC_CAD|VIP|MONICA|MSP|EGCUT|POPGEN|HNR|Munich_MI|MDC|OHS|AMC-PAS|PROCARDIS|VHS|WHI|MHI|BioVU|GoDARTS|PennCATH|HUNT|GerMIFS|BioMe,
PGS000350,Source of Variant Associations (GWAS),4446.0,,,,,European,,Australia,,,,GCST001062,21532571,,ANZRAG|GIST|BATS|QIMR,
PGS000350,Source of Variant Associations (GWAS),27558.0,,,,,European,,"U.S., Australia, Netherlands, Germany, U.K., France",,,,GCST002580,25173106,,ALIENOR|BATS|BES|BMES|ERF|FES|ORCADES|REHS|RS|SCES|SIMES|SINDI|TEST|TwinsUK|GHS,
PGS000350,Source of Variant Associations (GWAS),7738.0,,,,,"South Asian, South East Asian, East Asian",,"Singapore, China",,,,GCST002580,25173106,,ALIENOR|BATS|BES|BMES|ERF|FES|ORCADES|REHS|RS|SCES|SIMES|SINDI|TEST|TwinsUK|GHS,
PGS000350,Source of Variant Associations (GWAS),3147.0,,,,,European,,Australia,,,,GCST002582,25173105,,ANZRAG,
PGS000350,Source of Variant Associations (GWAS),37333.0,,,,,European,,U.S.,,,,GCST003342,26752265,,NEIGHBOR|OHTS|MEEI|Marshfield|Iowa|WGHS|NHS|HPFS,
PGS000350,Source of Variant Associations (GWAS),6633.0,,,,,European,,U.S.,,,,GCST001493,22570617,,GEP|NHS|HPFS|NEIGHBOR,
PGS000350,Source of Variant Associations (GWAS),36140.0,,,,,European,,Iceland,,,,GCST000793,20835238,,RES|deCODE,
PGS000351,Source of Variant Associations (GWAS),85426.0,,,,,European,,"Canada, U.S., Australia, New Zealand, Austria, Belgium, France, Germany, Netherlands, Colombia, South Africa, Pakistan, Israel, Czech Republic, Hungary, Poland, Russian Federation, Denmark, Finland, Iceland, Latvia, Lithuania, Norway, Sweden, U.K., Greece, Italy, Portugal, Spain, NR",,,,GCST004462,28346442,,DEMOKRITOS|SEARCH|MEC|AOCS|BCFR-NY|BCFR-PA|BCFR-UTAH|GC-HBOC|HEBCS|HUOCS|MSKCC|NC-BCFR|OFBCR|EPIC|NHS|PLCO|UCSF|MDACCS|CNIO|DKFZ|FCCC|G-FaST|IOVHBOCS|kConFab|MAYO|NCI|UPITT|SWE-BRCA|BioVU|BCFR-AU|DFCI|EMBRACE|GEMO|HEBON|BOCC|BOCS|MALOVA|DPMS|DOVE|GOCS|HJOCS|HMOCS|HeOCS|HOPE|WCPSOCCI|LAC-CCOC|NCOCS|NECC|UBNS|OVAL-BC|POCS|WOCS|FROC&GEOCS|UCIOCS|MOCS|FOTS|NJOCS|HOCS|MOF|NOCS|SWE|TBOCS|UKFOCR|BFBOCC|BMBSA|BRICOH|CopBCS|COH|CONSIT_TEAM|Georgetown|HCSC|HUNBOCS|HUVH|ICO|IHCC|LUHR|INHERIT|KUMC|MCGILL|MUV|NNPIO|NSUHS|NRG_ONCOLOGY|OCGN|OSUCCG|OUH|UDP|SHMC|UC|UKGRFOCR|UPENN|VFCTG|WCRI|IPOBCS|Sisters,
PGS000351,Source of Variant Associations (GWAS),237334.0,112349.0,124985.0,,,European,,,,,,,27432226,,ABCFS|BBCS|DFBBCS|GC-HBOC|GWAS_UK2|HEBCS|MARIE|SASBAC|kConFab|TNBCC|WTCCC|RS|KORA|NordicDB|CPSII|EPIC|MEC|NHS2|PBCS|PLCO|NHS|BCFR-AU|BCFR-NCA|BCFR-ONT|GESBC|LI|Seattle|USC|CCFR|ABCTB|MCCS|QIMR|BBCC|GENICA|DFCI|FCCC|MCBCS|CGEMS|POSH|SBCS|ACS|AOCS|EMBRACE|GEMO|HEBON|CAPS|EPIC-Norfolk|ESTHER|FHCRC|IPO-Porto|MAYO|RFPCS|ProtecT|QLD|SEARCH|TAMPERE|UKGPCS|ULM|UTAH|PHS|HPFS|ATBC|STHM|EOPCS|PCMUS|Poland|PPF-UNIS|ProMPT|MOFFITT|CPCS|PEGASUS-TIMI_54,
PGS000352,Source of Variant Associations (GWAS),53978.0,,,,,European,,"Canada, U.S., Australia, Belgium, Germany, Netherlands, Poland, Finland, Norway, Sweden, U.K., Spain, NR",,,,GCST004480,28346442,,AOCS|BOCC|BOCS|MALOVA|DPMS|DOVE|GOCS|HJOCS|HMOCS|HeOCS|HOPE|WCPSOCCI|LAC-CCOC|MDACCS|NCOCS|NECC|NHS|UBNS|OVAL-BC|POCS|WOCS|SEARCH|FROC&GEOCS|UCIOCS|MOCS|FOTS|NJOCS|CNIO|HUOCS|EPIC|HOCS|MEC|MOF|NOCS|PICO|SWE|TBOCS|UKFOCR|BCFR-AU|NC-BCFR|BCFR-NY|OFBCR|BCFR-PA|BCFR-UTAH|BFBOCC|BMBSA|BRICOH|CopBCS|COH|CONSIT_TEAM|DFCI|EMBRACE|FCCC|GC-HBOC|GEMO|Georgetown|G-FaST|HCSC|HEBCS|HEBON|HUNBOCS|HUVH|ICO|IHCC|LUHR|INHERIT|kConFab|KUMC|MAYO|MCGILL|MUV|NCI|NNPIO|NSUHS|NRG_ONCOLOGY|OCGN|OSUCCG|OUH|UDP|SHMC|UC|UKGRFOCR|UPENN|VFCTG|WCRI|IOVHBOCS|IPOBCS|UPITT|UCSF|BioVU|DEMOKRITOS|SISTER|DKFZ|MSKCC|SWE-BRCA,
PGS000353,Source of Variant Associations (GWAS),371216.0,69190.0,302026.0,,,European,,,,ftp://share.sph.umich.edu/UKBB_SAIGE_HRC/; UKB GWAS (PheCode-based phenotype): X10001,,,32424355,,,
PGS000353,Score Development/Training,15157.0,10357.0,4800.0,,,European,,USA,,PheCode:10001; ICD9CM:; ICD10CM:,,,32991828,,MGI,
PGS000354,Source of Variant Associations (GWAS),371216.0,69190.0,302026.0,,,European,,,,ftp://share.sph.umich.edu/UKBB_SAIGE_HRC/; UKB GWAS (PheCode-based phenotype): X10001,,,32424355,,,
PGS000354,Score Development/Training,15157.0,10357.0,4800.0,,,European,,USA,,PheCode:10001; ICD9CM:; ICD10CM:,,,32991828,,MGI,
PGS000355,Source of Variant Associations (GWAS),371216.0,69190.0,302026.0,,,European,,,,ftp://share.sph.umich.edu/UKBB_SAIGE_HRC/; UKB GWAS (PheCode-based phenotype): X10001,,,32424355,,,
PGS000355,Score Development/Training,15157.0,10357.0,4800.0,,,European,,USA,,PheCode:10001; ICD9CM:; ICD10CM:,,,32991828,,MGI,
PGS000356,Source of Variant Associations (GWAS),371216.0,69190.0,302026.0,,,European,,,,ftp://share.sph.umich.edu/UKBB_SAIGE_HRC/; UKB GWAS (PheCode-based phenotype): X10001,,,32424355,,,
PGS000356,Score Development/Training,15157.0,10357.0,4800.0,,,European,,USA,,PheCode:10001; ICD9CM:; ICD10CM:,,,32991828,,MGI,
PGS000357,Source of Variant Associations (GWAS),361194.0,790.0,360404.0,,,European,,,,UKB GWAS (FINNGEN-based phenotype): C3_LIP_ORAL_PHARYNX,,,,http://www.nealelab.is/uk-biobank,,
PGS000357,Score Development/Training,6613.0,604.0,6009.0,,,European,,USA,,"PheCode:145; ICD9CM:140.0, 140.1, 140.3, 140.4, 140.5, 140.6, 140.8, 140.9, 141.0, 141.1, 141.2, 141.3, 141.4, 141.5, 141.6, 141.8, 141.9, 142.0, 142.1, 142.2, 142.8, 142.9, 143.0, 143.1, 143.8, 143.9, 144.0, 144.1, 144.8, 144.9, 145.0, 145.1, 145.2, 145.3, 145.4, 145.5, 145.6, 145.8, 145.9, 230.0, V10.01; ICD10CM:C00, C00.0, C00.1, C00.2, C00.3, C00.4, C00.5, C00.6, C00.8, C00.9, C01, C02, C02.0, C02.1, C02.2, C02.3, C02.4, C02.8, C02.9, C03, C03.0, C03.1, C03.9, C04, C04.0, C04.1, C04.8, C04.9, C05, C05.0, C05.1, C05.2, C05.8, C05.9, C06, C06.0, C06.1, C06.2, C06.8, C06.80, C06.89, C06.9, C07, C08, C08.0, C08.1, C08.9, D00.0, D00.00, D00.01, D00.02, D00.03, D00.04, D00.05, D00.06, D00.07, D00.08",,,32991828,,MGI,
PGS000358,Source of Variant Associations (GWAS),407464.0,643.0,406821.0,,,European,,,,ftp://share.sph.umich.edu/UKBB_SAIGE_HRC/; UKB GWAS (PheCode-based phenotype): X145,,,32424355,,,
PGS000358,Score Development/Training,6613.0,604.0,6009.0,,,European,,USA,,"PheCode:145; ICD9CM:140.0, 140.1, 140.3, 140.4, 140.5, 140.6, 140.8, 140.9, 141.0, 141.1, 141.2, 141.3, 141.4, 141.5, 141.6, 141.8, 141.9, 142.0, 142.1, 142.2, 142.8, 142.9, 143.0, 143.1, 143.8, 143.9, 144.0, 144.1, 144.8, 144.9, 145.0, 145.1, 145.2, 145.3, 145.4, 145.5, 145.6, 145.8, 145.9, 230.0, V10.01; ICD10CM:C00, C00.0, C00.1, C00.2, C00.3, C00.4, C00.5, C00.6, C00.8, C00.9, C01, C02, C02.0, C02.1, C02.2, C02.3, C02.4, C02.8, C02.9, C03, C03.0, C03.1, C03.9, C04, C04.0, C04.1, C04.8, C04.9, C05, C05.0, C05.1, C05.2, C05.8, C05.9, C06, C06.0, C06.1, C06.2, C06.8, C06.80, C06.89, C06.9, C07, C08, C08.0, C08.1, C08.9, D00.0, D00.00, D00.01, D00.02, D00.03, D00.04, D00.05, D00.06, D00.07, D00.08",,,32991828,,MGI,
PGS000359,Source of Variant Associations (GWAS),361194.0,160.0,361034.0,,,European,,,,UKB GWAS (FINNGEN-based phenotype): C3_TONGUENAS,,,,http://www.nealelab.is/uk-biobank,,
PGS000359,Score Development/Training,3195.0,291.0,2904.0,,,European,,USA,,"PheCode:145.2; ICD9CM:141.0, 141.1, 141.2, 141.3, 141.4, 141.5, 141.6, 141.8, 141.9, V10.01; ICD10CM:C01, C02, C02.0, C02.1, C02.2, C02.3, C02.4, C02.8, C02.9",,,32991828,,MGI,
